"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","84.0","","","","1"
"2008-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","84.9","","","","1"
"2008-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","86.1","","","","1"
"2008-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","87.1","","","","1"
"2008-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","88.3","","","","1"
"2008-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","88.6","","","","1"
"2008-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","88.5","","","","1"
"2008-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","88.7","","","","1"
"2008-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","89.9","","","","1"
"2008-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","90.1","","","","1"
"2009-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","90.6","","","","1"
"2009-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","90.8","","","","1"
"2009-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","90.9","","","","1"
"2009-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.0","","","","1"
"2009-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.1","","","","1"
"2009-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.2","","","","1"
"2009-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.2","","","","1"
"2009-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.6","","","","1"
"2009-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.7","","","","1"
"2009-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","91.7","","","","1"
"2009-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","92.0","","","","1"
"2009-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","92.3","","","","1"
"2010-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","92.9","","","","1"
"2010-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","92.9","","","","1"
"2010-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","92.9","","","","1"
"2010-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.3","","","","1"
"2010-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.5","","","","1"
"2010-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.9","","","","1"
"2010-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.9","","","","1"
"2010-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.9","","","","1"
"2010-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.9","","","","1"
"2010-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","93.9","","","","1"
"2010-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","95.9","","","","1"
"2010-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.0","","","","1"
"2011-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.0","","","","1"
"2011-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.1","","","","1"
"2011-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.1","","","","1"
"2011-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.1","","","","1"
"2011-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.0","","","","1"
"2011-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.0","","","","1"
"2011-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.2","","","","1"
"2011-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.2","","","","1"
"2011-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.4","","","","1"
"2011-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.4","","","","1"
"2011-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.4","","","","1"
"2011-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.4","","","","1"
"2012-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.2","","","","1"
"2012-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.5","","","","1"
"2012-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.6","","","","1"
"2012-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.7","","","","1"
"2012-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.7","","","","1"
"2012-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","96.7","","","","1"
"2012-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.1","","","","1"
"2012-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.3","","","","1"
"2012-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.2","","","","1"
"2012-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.2","","","","1"
