REF_DATE,GEO,VALUE
15-Jul,Ontario,92.8
15-Aug,Ontario,93.3
15-Sep,Ontario,93.4
15-Oct,Ontario,93.8
15-Nov,Ontario,93.9
15-Dec,Ontario,94.1
16-Jan,Ontario,94.2
16-Feb,Ontario,94.6
16-Mar,Ontario,94.8
16-Apr,Ontario,95.3
16-May,Ontario,96.6
16-Jun,Ontario,97
16-Jul,Ontario,97.8
16-Aug,Ontario,98.2
16-Sep,Ontario,98.5
16-Oct,Ontario,99.5
16-Nov,Ontario,99.9
16-Dec,Ontario,100
17-Jan,Ontario,100.3
17-Feb,Ontario,101.1
17-Mar,Ontario,101.4
17-Apr,Ontario,103
17-May,Ontario,103.8
17-Jun,Ontario,103.9
17-Jul,Ontario,104.1
17-Aug,Ontario,104.2
17-Sep,Ontario,104.3
17-Oct,Ontario,104.4
17-Nov,Ontario,104.5
17-Dec,Ontario,104.5
18-Jan,Ontario,104.6
18-Feb,Ontario,104.3
18-Mar,Ontario,104.3
18-Apr,Ontario,104.1
18-May,Ontario,104.1
18-Jun,Ontario,104.2
18-Jul,Ontario,104.3
18-Aug,Ontario,104.4
18-Sep,Ontario,104.4
18-Oct,Ontario,104.5
18-Nov,Ontario,104.6
8-Jan,Manitoba,74.4
8-Feb,Manitoba,74.4
8-Mar,Manitoba,75.2
8-Apr,Manitoba,75.2
8-May,Manitoba,76.6
8-Jun,Manitoba,77.4
8-Jul,Manitoba,77.6
8-Aug,Manitoba,77.7
8-Sep,Manitoba,78
8-Oct,Manitoba,78.2
8-Nov,Manitoba,78.2
8-Dec,Manitoba,78.2
9-Jan,Manitoba,78.2
9-Feb,Manitoba,78.2
9-Mar,Manitoba,78.2
9-Apr,Manitoba,78.2
9-May,Manitoba,78.5
9-Jun,Manitoba,78.8
9-Jul,Manitoba,78.9
9-Aug,Manitoba,79
9-Sep,Manitoba,79
9-Oct,Manitoba,79
9-Nov,Manitoba,79.1
9-Dec,Manitoba,79.4
10-Jan,Manitoba,79.9
10-Feb,Manitoba,81.4
10-Mar,Manitoba,81.8
